Program,Certificate Type,Type,Filename,URL,Status
Paramedic,CCC,Course Sequence,N/A,https://www.mdc.edu/paramedic/,PDF not found
Passenger Service Agent,CCC,Course List,Passenger_Service_Agent_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66028.pdf,Downloaded
Passenger Service Agent,CCC,Course Sequence,N/A,https://www.mdc.edu/passengerserviceagent/,PDF not found
Patternmaking and Construction,CCC,Course List,Patternmaking_and_Construction_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/64002.pdf,Downloaded
Patternmaking and Construction,CCC,Course Sequence,N/A,https://www.mdc.edu/patternmaking/,PDF not found
Rapid Prototyping Specialist,CCC,Course List,Rapid_Prototyping_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66054.pdf,Downloaded
Rapid Prototyping Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/rapidprototyping/,PDF not found
Real Estate Legal Specialization Certificate,CCC,Course List,Real_Estate_Legal_Specialization_Certificate_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/67015.pdf,Downloaded
Real Estate Legal Specialization Certificate,CCC,Course Sequence,Real_Estate_Legal_Specialization_Certificate_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_RealEstateLegalSpecializationCertificate_csg.pdf,Downloaded
Rooms Division Management,CCC,Course List,Rooms_Division_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65048.pdf,Downloaded
Rooms Division Management,CCC,Course Sequence,N/A,https://www.mdc.edu/roomsmanagement,PDF not found
Rooms Division Operations,CCC,Course List,Rooms_Division_Operations_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65056.pdf,Downloaded
Rooms Division Operations,CCC,Course Sequence,N/A,https://www.mdc.edu/roomsdivisionoperations,PDF not found
Rooms Division Specialist,CCC,Course List,Rooms_Division_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65055.pdf,Downloaded
Rooms Division Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/roomsdivisionspecialist,PDF not found
Sales and Customer Management,CCC,Course List,Sales_and_Customer_Management_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65107.pdf,Downloaded
Sales and Customer Management,CCC,Course Sequence,Sales_and_Customer_Management_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_SalesandCustomerManagement_csg.pdf,Downloaded
Solar Energy Systems Specialist,CCC,Course List,Solar_Energy_Systems_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/66056.pdf,Downloaded
Solar Energy Systems Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/solarenergysystemsspecialist/,PDF not found
Sport Management Operations,CCC,Course List,Sport_Management_Operations_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65120.pdf,Downloaded
Sport Management Operations,CCC,Course Sequence,Sport_Management_Operations_Course_Sequence_2025.pdf,https://www.mdc.edu/academics/programs/csg/CCC_SportManagementOperations_csg.pdf,Downloaded
Tax Specialist,CCC,Course List,Tax_Specialist_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/65076.pdf,Downloaded
Tax Specialist,CCC,Course Sequence,N/A,https://www.mdc.edu/taxspecialist,PDF not found
Television Studio Production,CCC,Course List,Television_Studio_Production_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/61003.pdf,Downloaded
Television Studio Production,CCC,Course Sequence,N/A,https://www.mdc.edu/tvstudioproduction/,PDF not found
Translation and Interpretation,CCC,Course List,Translation_and_Interpretation_Course_list_2025.pdf,https://www.mdc.edu/academics/programs/ps/64052.pdf,Downloaded
Translation and Interpretation,CCC,Course Sequence,N/A,https://www.mdc.edu/translationinterpretationcertificate,PDF not found
