Major,Degree Type,Type,Filename,URL,Status
Computer Programming and Analysis - Mobile Applications Development,AS,Course List,Computer_Programming_and_Analysis_-_Mobile_Applications_Development_Course_list_2025.pdf,N/A (existing file),Already Exists
Computer Programming and Analysis - Mobile Applications Development,AS,Course Sequence,Computer_Programming_and_Analysis_-_Mobile_Applications_Development_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Crime Scene Technology - Crime Scene Investigation,AS,Course List,Crime_Scene_Technology_-_Crime_Scene_Investigation_Course_list_2025.pdf,N/A (existing file),Already Exists
Crime Scene Technology - Crime Scene Investigation,AS,Course Sequence,Crime_Scene_Technology_-_Crime_Scene_Investigation_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Crime Scene Technology - Forensic Science,AS,Course List,Crime_Scene_Technology_-_Forensic_Science_Course_list_2025.pdf,N/A (existing file),Already Exists
Crime Scene Technology - Forensic Science,AS,Course Sequence,Crime_Scene_Technology_-_Forensic_Science_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Criminal Justice Technology,AS,Course List,Criminal_Justice_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Criminal Justice Technology,AS,Course Sequence,Criminal_Justice_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Culinary Arts Management,AS,Course List,Culinary_Arts_Management_Course_list_2025.pdf,N/A (existing file),Already Exists
Culinary Arts Management,AS,Course Sequence,Culinary_Arts_Management_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Cybersecurity,AS,Course List,Cybersecurity_Course_list_2025.pdf,N/A (existing file),Already Exists
Cybersecurity,AS,Course Sequence,Cybersecurity_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Database Technology - Oracle Database Administration,AS,Course List,Database_Technology_-_Oracle_Database_Administration_Course_list_2025.pdf,N/A (existing file),Already Exists
Database Technology - Oracle Database Administration,AS,Course Sequence,Database_Technology_-_Oracle_Database_Administration_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Dental Hygiene,AS,Course List,Dental_Hygiene_Course_list_2025.pdf,N/A (existing file),Already Exists
Dental Hygiene,AS,Course Sequence,Dental_Hygiene_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Diagnostic Medical Sonography,AS,Course List,Diagnostic_Medical_Sonography_Course_list_2025.pdf,N/A (existing file),Already Exists
Diagnostic Medical Sonography,AS,Course Sequence,Diagnostic_Medical_Sonography_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Early Childhood Education - Administrators,AS,Course List,Early_Childhood_Education_-_Administrators_Course_list_2025.pdf,N/A (existing file),Already Exists
Early Childhood Education - Administrators,AS,Course Sequence,Early_Childhood_Education_-_Administrators_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Early Childhood Education - Infant Toddler,AS,Course List,Early_Childhood_Education_-_Infant_Toddler_Course_list_2025.pdf,N/A (existing file),Already Exists
Early Childhood Education - Infant Toddler,AS,Course Sequence,Early_Childhood_Education_-_Infant_Toddler_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Early Childhood Education - Preschool,AS,Course List,Early_Childhood_Education_-_Preschool_Course_list_2025.pdf,N/A (existing file),Already Exists
Early Childhood Education - Preschool,AS,Course Sequence,Early_Childhood_Education_-_Preschool_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Early Childhood Education,AS,Course List,Early_Childhood_Education_Course_list_2025.pdf,N/A (existing file),Already Exists
Early Childhood Education,AS,Course Sequence,Early_Childhood_Education_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Electronics Engineering Technology,AS,Course List,Electronics_Engineering_Technology_Course_list_2025.pdf,N/A (existing file),Already Exists
Electronics Engineering Technology,AS,Course Sequence,Electronics_Engineering_Technology_Course_Sequence_2025.pdf,N/A (existing file),Already Exists
Entrepreneurship,AS,Course List,Entrepreneurship_Course_list_2025.pdf,N/A (existing file),Already Exists
